epoch	train_loss	train_acc	val_loss	val_acc
1	0.5900271534919739	0.41811949014663696	0.40190359950065613	0.5664421916007996
2	0.44147738814353943	0.5501891374588013	0.34460756182670593	0.6239120960235596
3	0.3906019926071167	0.5984866619110107	0.3189893066883087	0.6499179005622864
4	0.3641660511493683	0.6228418350219727	0.30665579438209534	0.6644884347915649
5	0.3457896411418915	0.6398144364356995	0.2921488285064697	0.6771155595779419
6	0.3319511115550995	0.6538698673248291	0.28863000869750977	0.6809886693954468
7	0.3216836750507355	0.6629758477210999	0.2790684103965759	0.6906351447105408
8	0.3123003840446472	0.6718999147415161	0.26991796493530273	0.7006945610046387
9	0.3072654902935028	0.6767985820770264	0.2642859220504761	0.7061567902565002
10	0.29836711287498474	0.6852421164512634	0.2645328938961029	0.7056518793106079
11	0.29281988739967346	0.6903350949287415	0.2692999243736267	0.7036654353141785
12	0.2870909869670868	0.695616602897644	0.25926560163497925	0.7132101655006409
13	0.28215911984443665	0.7006626725196838	0.26393070816993713	0.7082743644714355
14	0.2775307297706604	0.7048631310462952	0.25927624106407166	0.7125976085662842
15	0.2739250957965851	0.7078367471694946	0.2572026550769806	0.713711142539978
16	0.27030807733535767	0.7113818526268005	0.2568812370300293	0.7158404588699341
17	0.2672910690307617	0.7142668962478638	0.2544219195842743	0.718382716178894
18	0.2637339234352112	0.7177493572235107	0.2539493143558502	0.7177740931510925
19	0.2605675756931305	0.7207763195037842	0.261227011680603	0.7128402590751648
20	0.2583313584327698	0.722836434841156	0.24895673990249634	0.7241248488426208
21	0.26609137654304504	0.7160468101501465	0.26277393102645874	0.7090004682540894
22	0.26079699397087097	0.7205106019973755	0.24925872683525085	0.7231247425079346
23	0.25310656428337097	0.7274296879768372	0.2519937753677368	0.7211833596229553
24	0.2499125748872757	0.7309525609016418	0.2541674077510834	0.7196391820907593
25	0.2484743893146515	0.7324047684669495	0.24886471033096313	0.7240974307060242
26	0.24657341837882996	0.733951985836029	0.25356894731521606	0.7197683453559875
27	0.244733527302742	0.735678493976593	0.2610372304916382	0.7135252356529236
28	0.2432745099067688	0.7369216084480286	0.24958722293376923	0.7222029566764832
29	0.24204860627651215	0.7383983135223389	0.24716423451900482	0.7276260852813721
30	0.24035654962062836	0.7401591539382935	0.252191960811615	0.722240149974823
31	0.23917287588119507	0.741068422794342	0.24776093661785126	0.7258314490318298
32	0.23703566193580627	0.7428885102272034	0.24774335324764252	0.7272248864173889
33	0.2356710582971573	0.7444861531257629	0.25002506375312805	0.7254145741462708
34	0.23419959843158722	0.7456763386726379	0.25012141466140747	0.7235376834869385
35	0.2330840826034546	0.7466890811920166	0.2527536451816559	0.7226961851119995
36	0.2317054271697998	0.748139500617981	0.25132498145103455	0.7249859571456909
37	0.23051375150680542	0.7490549087524414	0.25723522901535034	0.7202537059783936
38	0.22979557514190674	0.7499069571495056	0.2506703734397888	0.7253910899162292
39	0.22866708040237427	0.7508749961853027	0.26178738474845886	0.7159540057182312
40	0.22815155982971191	0.7512654662132263	0.25834015011787415	0.7174198627471924
41	0.22649599611759186	0.7533307075500488	0.2517326772212982	0.7258725166320801
42	0.22603672742843628	0.7532809972763062	0.2512779235839844	0.7238351702690125
43	0.22427554428577423	0.7552185654640198	0.24782201647758484	0.7272796630859375
44	0.22341260313987732	0.7555933594703674	0.2544473707675934	0.7221716642379761
45	0.22292950749397278	0.7562685608863831	0.2543957829475403	0.7222793102264404
46	0.22177742421627045	0.7573944926261902	0.268281489610672	0.7124468684196472
47	0.22100435197353363	0.7583088874816895	0.25584450364112854	0.7201949954032898
48	0.2203710675239563	0.7587562203407288	0.2556340992450714	0.7219015955924988
49	0.21968846023082733	0.7593355774879456	0.2581748068332672	0.7202145457267761
50	0.21865695714950562	0.7606061100959778	0.2573047876358032	0.7178465127944946
